CRWD,NVDA,AVGO,TSLA,PANW,MSFT,AMZN,AB,AAPL,GOOGL,V,DIS
101.080002,9.26125,30.277,66.726669,76.910004,195.149994,133.750504,26.66,87.43,71.232002,192.199997,114.349998
105.019997,9.52675,31.354,66.288002,77.626663,200.570007,135.690994,26.6,89.717499,72.532997,194.960007,115.919998
104.269997,9.45,31.129999,66.785332,76.436668,201.910004,138.220505,26.129999,91.6325,73.198997,197.970001,116.589996
103.699997,9.2355,30.697001,64.056664,74.466667,197.839996,136.720001,25.049999,90.014999,71.635002,191.410004,112.07
105.709999,9.49,30.885,65.732002,75.633331,200.339996,137.729004,25.790001,91.209999,72.055,193.979996,111.360001
98.790001,9.155,30.740999,63.982666,75.129997,196.330002,134.643494,25.309999,88.407501,68.126999,189.270004,109.099998
98.099998,9.2,30.978001,67.290001,75.696671,198.440002,134.018997,26.43,90.445,69.858498,191.380005,111.519997
100.290001,9.49775,31.561001,71.987335,76.556664,203.509995,137.940994,27.24,91.199997,70.902496,193.169998,111.510002
102.949997,9.53,31.273001,74.641998,76.453331,204.699997,143.934998,26.620001,91.027496,72.099998,193.779999,113.010002
107.269997,9.61225,31.547001,80.577332,76.84333,206.259995,144.514999,26.67,91.027496,73.496498,195.669998,112.18
106.389999,9.83925,31.879,91.438667,78.636665,210.699997,152.852005,26.82,93.462502,74.982498,197.759995,114.43
