FAST, ITW, AFL, AME, MMC, PCAR
ORLY, PEP, LH, MSFT, CBOE, ROL
GILD, AMGN, REGN, PEP, NI, MRK
CAT, ETN, ITW, BRK-B, AJG, IEX
IPG, OMC, GOOG, PFG, USB, PPL
BSX, MDT, ISRG, TFX, ABT, BDX
ORCL, MSFT, CSCO, PG, SNPS, ETN
GPN, FIS, FI, MA, CPAY, V
NVR, PHM, LNT, AME, O, POOL
BA, BRK-B, CCL, MAR, LIN, HD
UHS, HCA, JNJ, L, OMC, WELL
FI, FIS, MA, ADP, V, WM
PCAR, ITW, ETN, CAT, PFG, IEX
KKR, MCO, MSFT, HLT, SCHW, LRCX
DHR, TMO, A, WST, XYL, PSA
NSC, JBHT, DOV, AME, MMM, CAT
ZBRA, APH, TROW, DUK, TRMB, IQV
SYK, ZBH, MDT, BSX, TFX, ISRG
ETR, PNW, SO, AEP, LNT, PEG
KEY, RF, HBAN, TFC, PNC, BAC
LLY, MRK, JNJ, RSG, MCD, BIIB
COST, WMT, CL, KR, TGT, AAPL
INTC, MSFT, LRCX, MU, WST, ITW
XEL, CMS, WEC, LNT, ES, AEP
BWA, APTV, PCAR, F, SNA, O
EQR, AVB, UDR, ESS, FRT, BRO
WM, ROL, AJG, PEP, CME, SO
WBD, PARA, AJG, CMCSA, T, NWS
AMGN, JNJ, REGN, MRK, PFE, COR
RL, TPR, SPGI, FRT, CMCSA, DECK
MS, GS, AMP, BAC, SCHW, JPM
MET, PFG, L, AMP, BAC, AIG
KDP, PEP, DTE, LMT, MCD, WEC
CNP, DTE, SRE, ETR, EXC, PPL
CI, ELV, UNH, CVS, MCK, UHS
PKG, AVY, BALL, O, MA, ITW
KLAC, LRCX, AMAT, TXN, TER, MPWR
GRMN, L, MCO, WMT, TRMB, ODFL
ROK, ITW, EMR, AME, ETN, PH
APA, MRO, BRK-B, OXY, EOG, DTE
EOG, COP, FANG, XOM, MRO, SLB
CNC, UNH, HCA, LH, COR, UHS
TSLA, AAPL, NEE, SO, WEC, LRCX
XOM, COP, SLB, BRK-B, VLO, VZ
WMT, PEP, O, BRK-B, CMS, ORLY
MTB, PNC, RF, TFC, HBAN, USB
PANW, FTNT, NOW, RCL, PSX, FITB
AON, MMC, WTW, AJG, BRO, FRT
EBAY, ABT, TYL, WELL, MSFT, TROW
SYY, KO, SPG, PLD, SYK, BA
LH, DGX, IQV, UNH, SPG, AMP
BR, JKHY, PAYX, ACN, MCO, LNT
FICO, MCO, EFX, WEC, MSFT, BRO
JBL, TEL, APH, SBAC, CDW, MPWR
GS, JPM, BAC, WFC, KKR, BLK
HCA, LH, SPG, UNH, ABT, DLR
LYV, CLX, MAR, KIM, EXPE, NWS
BXP, FRT, JPM, AVB, KIM, ESS
CPT, ESS, PLD, PSA, REG, EXR
PNW, LNT, PEG, AEP, SO, O
MTCH, CL, SO, GOOG, MA, NEE
LRCX, MSFT, ITW, GOOGL, MCO, LIN
MA, V, MSFT, MCO, WRB, REG
